序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
7727,猎聘,能源/化工/环保,矿山,采矿工程师 五险 可攒休，有探亲假,企业职位,某国内人力资源服务公司,50-99人,,西安,合肥,大专,5-10年,16-17k,,,,https://www.liepin.com/a/76442349.shtml,20260608103121,,,,
7728,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,滁州-全椒县,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982735981.shtml,20260521134525,,,,
7729,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,合肥-肥西县,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982368879.shtml,20260516080528,,,,
7730,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,六安-裕安区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736089.shtml,20260521134729,,,,
7731,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,安庆-宜秀区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736145.shtml,20260521134759,,,,
7732,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,芜湖-镜湖区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736091.shtml,20260521134729,,,,
7733,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,宿州-埇桥区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982735799.shtml,20260521134223,,,,
7734,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,池州-贵池区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736093.shtml,20260521134729,,,,
7735,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,宣城-宣州区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736271.shtml,20260521134958,,,,
7736,猎聘,能源/化工/环保,矿山,煤炭行业销售经理,企业职位,金星智控,100-499人,,西安,淮南-田家庵区,大专,3-8年,7-12k,,,,https://www.liepin.com/job/1980919073.shtml,20260320153243,,,,
7737,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,黄山-黄山区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736267.shtml,20260521134958,,,,
7738,猎聘,能源/化工/环保,矿山,销售总监,企业职位,某北京大型人力资源服务公司,5000-10000人,,西安,合肥,本科,5-10年,20-35k,,,,https://www.liepin.com/a/73758001.shtml,20260323193741,,,,
7739,猎聘,能源/化工/环保,矿山,【储能/合同能源管理】销售经理,企业职位,安徽大唐智能科技有限公司,1-49人,,西安,合肥,本科,经验不限,11-22k,,,,https://www.liepin.com/job/1978267409.shtml,20251106105855,,,,
7740,猎聘,能源/化工/环保,矿山,地质技术员,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城-宣州区,本科,3-5年,8-16k,,,,https://www.liepin.com/job/1976216045.shtml,20251119144637,,,,
7741,猎聘,能源/化工/环保,矿山,嵌入式软件工程师,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,统招本科,3年以上,6-18k,,,,https://www.liepin.com/job/1981139309.shtml,20260603161751,,,,
7742,猎聘,能源/化工/环保,矿山,销售经理（新能源重卡）,企业职位,深向科技,1000-2000人,,西安,铜陵-铜官区,大专,经验不限,9-15k,,,,https://www.liepin.com/job/1982736097.shtml,20260521134729,,,,
7743,猎聘,能源/化工/环保,矿山,采矿技术员/ 工程师,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城,本科,5-10年,9-27k,,,,https://www.liepin.com/job/1976652597.shtml,20250901100742,,,,
7744,猎聘,能源/化工/环保,矿山,中级测量工程师（五险，管吃住，休假4天）,企业职位,某国内人力资源服务公司,50-99人,,西安,合肥,学历不限,5-10年,13-15k,,,,https://www.liepin.com/a/74038303.shtml,20260511171321,,,,
7745,猎聘,能源/化工/环保,矿山,浙江集团公司招聘机电矿长,企业职位,某国内咨询服务公司,50-99人,,西安,合肥,大专,5-10年,22-23k,,,,https://www.liepin.com/a/73981617.shtml,20260609084326,,,,
7746,猎聘,能源/化工/环保,矿山,产品经理（智驾）,企业职位,某国内整车制造公司,50-99人,,西安,芜湖,本科,3-5年,20-40k,,,,https://www.liepin.com/a/73353517.shtml,20260313161211,,,,
7747,猎聘,能源/化工/环保,矿山,采矿工程师,企业职位,大中矿业,2000-5000人,,西安,六安-霍邱县,大专,3-5年,14-18k,,,,https://www.liepin.com/job/1967612937.shtml,20260417141003,,,,
